ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
384     ..3      07-6688-19N       rivet 7/32X1/8 nickel                            12
385     ..3      4700-00003-00     fw .125X.281X.032                                12
386     ..3      01-10095          brkt hanger                                       2
387     ..3      5647-12693-21     switch sub mini micro                             2
388     ..3      01-8652           brkt mtg                                          2
389     ..3      4002-01105-07     ms 2-56x7/16 p-ph-s                               4
390     ..3      5070-09054-00     diode-1N4004 1.0a                                 2
391     ..3      4006-01027-06     ms 6-32X3/8 p-rwh                                 6
392     ..3      4406-01128-00     nut 6-32 keps                                     6
393     ..3      H-15530           ramp exit switch cable                            2
394     ...4     H-15530-C         ramp exit switch cbl-cut wire                     2
395     ....5    CW-30022-5        wire 22awg green                                 20
396     ....5    CW-30022-9        wire 22awg white                                 20
397     ...4     5791-10772-00     2P11625 03-06-2023                                2
398     ...4     5820-09078-00     pm1560 02-06-2101                                 4
399     ...4     RM-23-01          tubing-heat shrink-1/8 poly                      18
400     .2       A-15109           boat unit assy-complete                           1
401     ..3      36-50005-1        scrn up-plfd w/hrdct fishtales                    1
402     ...4     31-1002A-50005    plfd scrn -ini fishtales                          1
403     ....5    A-13769A-50005    mini plfd & inserts-fishtales                     1
404     .....6   03-8310-10        insert rec3/4x1.50 stp tr-blu                     1
405     .....6   03-8310-11        ins-rect 3/4x1-1/2 stp trp-grn                    1
406     .....6   03-8310-12        ins-rect 3/4x1-1/2 stp trp-org                    1
407     .....6   03-8310-13        ins-rect 3/4x1-1/2 stp clear                      1
408     .....6   03-8310-9         ins-rect 3/4x1-1/2 stp trp-red                    1
409     .....6   03-8359-11        insert-arrow 2 1/2 stpl tr-grn                    2
410     .....6   03-8359-18        insert-arrow 2 1/2 stp trp-vio                    2
411     ...4     03-8674-4         mylar fishtales-plfd/boat                         1
412     ..3      A-15108           ball guide assy-boat                              1
413     ..3      01-10492-1        ball guide-left side boat                         1
414     ..3      01-10492-2        ball guide-right side boat                        1
415     ..3      12-7053-47        "ball guide 7"""                                  2
416     ..3      01-10440          flap-boat                                         1
417     ..3      4408-01119-01     nut 8-32 esna/ntm                                 2
418     ..3      01-10491          brkt boat support                                 1
419     ..3      4106-01114-08     tcs #6X1/2 pl-hwh t-17                           20
420     ..3      A-14691-5         stat tgt-frt mtg95 rnd op-whit                    1
421     ...4     01-12346          brkt switch mtg 95degree red                      1
422     ...4     01-8657           brkt stop                                         1
423     ...4     01-916-H          "spacer- 3/32"""                                  1
424     ...4     01-916-S          "spacer-tight 1/16"""                             2
425     ...4     01-916-T          "spacer- 1/32"""                                  1
426     ...4     01-3670           plate-switch curved                               1
427     ...4     03-7007-6         "tubing-3/8"""                                    2
428     ...4     03-8093-5         "tgt 1""round-op white"                           1
429     ...4     06-20-20          blade-back up                                     2
430     ...4     06-73-2           blade-insulator                                   1
431     ...4     06-1-14           blade-contact                                     1
432     ...4     06-13G-14         blade-contact                                     1
433     ...4     07-6688-27        rivet 9/16X1/8                                    2
434     ...4     07-6697-4         rivet .125X.187x.218 zinc                         1
435     ...4     4700-00003-00     fw .125X.281X.032                                 1
436     ...4     23-6534-9         rubber protector 3/8                              1
437     ...4     5070-09054-00     diode-1N4004 1.0a                                 1
438     ...4     06-1F-14          blade-contact                                     2
439     ...4     5860-09374-00     cp prec met 7309fs                                2
440     ..3      A-12687           sub-mini switch assy                              1
441     ...4     01-12356          brkt-switch mtg                                   1
442     ...4     4002-01105-06     ms 2-56x3/8 p-ph-s                                2
443     ...4     5070-09054-00     diode-1N4004 1.0a                                 1
444     ...4     5647-12693-18     switch sub mini micro                             1
445     ..3      A-12688-1         rollover micro switch assy                        1
446     ...4     01-8719-1         brkt switch mtg                                   1
447     ...4     4002-01105-06     ms 2-56x3/8 p-ph-s                                2
448     ...4     5070-09054-00     diode-1N4004 1.0a                                 1
449     ...4     5647-12693-19     switch sub mini micro                             1
450     ..3      03-8022-1         "spacer .541 L"""                                 3
451     ..3      4106-01115-06Y    sms #6x3/8 pl-hwh-yel                            11
