ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
1691    ...4     5700-12088-00     "socket-dip 32.6P"""                              3
1692    ...4     5705-12755-00     h/sink-5299b-220                                  1
1693    ...4     5733-12060-01     fuse hldr pc MT3AG                                2
1694    ...4     5791-10862-04     4h str sq pin .156                                2
1695    ...4     5791-10862-05     5h str sq pin .156                                1
1696    ...4     5791-10862-07     7h str sq pin .156                                1
1697    ...4     5791-12462-03     3h str sq lck .100                                1
1698    ...4     5791-12462-04     4h str sq lck .100                                1
1699    ...4     5791-12516-00     34 hdr 2x17 .100                                  1
1700    ..3      A-5343-50005-3    U18 mus/spch game rom                             1
1701    ...4     5343-12881-00     e prom 27c040 4meg 120nsec                        1
1702    ...4     16-9419-2         label-rev L1-U18 sound-50005                      1
1703    ....5    RM-33-01          label 1-1/8x7/16-white                            1
1704    ..3      5370-11086-00     ic YM2151 sound                                   1
1705    ..3      5371-11087-00     ic conv d/a YM3012                                1
1706    ..3      5400-10320-00     ic mpu 68B09E                                     1
1707    ..3      5731-10356-00     fuse sb 3A 250V                                   2
1708    ..3      16-8850-396       label-pcb asy id A-12738-50005                    1
1709    .2       A-13379           lock & plate assy                                 1
1710    ..3      01-9519           plate-lock                                        1
1711    ..3      20-9637           lock & cam kit                                    1
1712    .2       A-14039           dot matrix controller assy                        1
1713    ..3      A-14039-AI        dot matrix controller assy                        1
1714    ...4     5010-08991-00     res 4.7k 1/4w 5%                                  1
1715    ...4     5010-09036-00     res 100 1/4w 5%                                  10
1716    ...4     5010-09224-00     res 270 1/4W 5%                                   1
1717    ...4     5010-10171-00     res 56 1/4W 5%                                    1
1718    ...4     5010-12832-00     res 47k 1/2w 5%                                   4
1719    ...4     5010-12841-00     res 120 1/2w 5%                                   2
1720    ...4     5043-08980-00     cap 0.01m 50v +80-20 axial                       35
1721    ...4     5043-09492-00     cap 100p 50v +/-10 axial                          2
1722    ...4     5043-09845-00     cap 1kp 50v +/-20 axial                           3
1723    ...4     5070-09054-00     diode-1N4004 1.0a                                 1
1724    ...4     5075-12824-00     zn 1n4742a 12v 1w                                 2
1725    ...4     5075-12826-00     zn 1n4759 62v 1w                                  1
1726    ...4     5075-12823-00     zn 1n4758a 56v 1w                                 2
1727    ...4     5760-12710-11     pcb-dot disply controller                         1
1728    ..3      4006-01003-06     ms 6-32X3/8 p-ph-s                                3
1729    ..3      4406-01128-00     nut 6-32 keps                                     3
1730    ..3      5012-12830-00     res 1.8k 5w 5%                                    1
1731    ..3      5012-12843-00     res 4.7k 5w 5%                                    1
1732    ..3      5012-12842-00     res 120 ohm 5w 5%                                 1
1733    ..3      5040-08986-00     cap 100M 10V +/-20 axial                          1
1734    ..3      5040-12324-00     cap 150M 160V +-50 axial                          2
1735    ..3      5043-09072-00     cap .1M 500V +80-20 radial                        3
1736    ..3      5100-12833-00     brdg 1a rect 400v                                 2
1737    ..3      5160-10269-00     trans 2N3904 npn                                  1
1738    ..3      5164-09056-00     trans MPSD02 npn                                  2
1739    ..3      5164-12154-00     trans MJE15030 npn                                2
1740    ..3      5194-09055-00     trans MPSD52 pnp                                  2
1741    ..3      5194-12155-00     trans MJE15031 pnp                                1
1742    ..3      5281-09738-00     ic 74ls157                                        4
1743    ..3      5281-10033-00     ic 74LS30                                         1
1744    ..3      5281-10043-00     ic 74LS175                                        4
1745    ..3      5311-10946-00     ic 74hc74 dual f/f                                5
1746    ..3      5311-10947-00     ic 74hc125                                        1
1747    ..3      5311-10951-00     ic 74hc161                                        2
1748    ..3      5311-10977-00     ic 74hc04 hex inv                                 1
1749    ..3      5311-12817-00     ic 74hc165 shift register                         1
1750    ..3      5311-12819-00     ic 74hc688 comparator                             1
1751    ..3      5311-12820-00     ic 74hc27 3 input nor                             1
1752    ..3      5311-12822-00     ic 74hc193 counter                                3
1753    ..3      5315-12009-00     ic 74hct374 8-b ltch                              1
1754    ..3      5315-12812-00     ic 74hct138 3to8 decoder                          3
1755    ..3      5281-09308-00     ic 74LS245 trncv                                  1
1756    ..3      5315-12815-00     ic 74hct08 quad aud                               2
1757    ..3      5315-12816-00     ic 74hct32                                        1
1758    ..3      5315-12821-00     ic 74hct240 octal buffer                          1
1759    ..3      5340-12278-00     s/ram 2064 150NS                                  1
1760    ..3      5551-09822-00     ind 4.7 uh 3a                                     1
1761    ..3      5671-13732-00     led dspl red                                      1
1762    ..3      5731-12328-00     fuse sb 3/8A 250V                                 2
1763    ..3      5733-12060-01     fuse hldr pc MT3AG                                2
1764    ..3      5791-10850-00     26h str sq .100                                   1
1765    ..3      5791-10862-05     5h str sq pin .156                                1
1766    ..3      5791-10862-07     7h str sq pin .156                                1
1767    ..3      5791-10862-08     8h str sq pin .156                                1
1768    ..3      5791-12516-00     34 hdr 2x17 .100                                  1
1769    ..3      5791-12827-00     14 hen 7x2 str                                    1
1770    ..3      5705-09199-00     h/sink 6030b                                      3
1771    .2       A-14092-3         wpc mounting plate assy                           1
1772    ..3      01-9822-3         plate-wpc board mounting                          1
1773    ..3      20-9534           standoff clip 1/2                                29
1774    .2       A-14376-50005     backbox assy                                      1
1775    .2       A-15472           fliptronic II assy                                1
1776    ..3      A-15472-AI        fliptronic II assy                                1
1777    ...4     5010-09034-00     res 10k 1/4w 5%                                   9
1778    ...4     5010-09358-00     res 1k 1/4w 5%                                   16
1779    ...4     5010-09361-00     res 220 1/2W 5%                                   4
1780    ...4     5010-09416-00     res 470 1/4w 5%                                   8
1781    ...4     5010-09534-00     res 0ohm 0w                                       2
1782    ...4     5010-10171-00     res 56 1/4W 5%                                    8
1783    ...4     5011-12956-00     res 2.7k 1w 5%                                    8
1784    ...4     5043-08980-00     cap 0.01m 50v +80-20 axial                        6
1785    ...4     5070-09054-00     diode-1N4004 1.0a                                24
1786    ...4     5768-13208-03     pcb-fliptronic II                                 1
1787    ..3      16-8850-438       label-pcb assy id A-15472                         1
1788    ..3      01-10572          heat sink-flip board                              1
1789    ..3      4006-01003-08     ms 6-32X1/2 p-ph-s                                4
1790    ..3      4406-01128-00     nut 6-32 keps                                     4
1791    ..3      5040-08986-00     cap 100M 10V +/-20 axial                          1
1792    ..3      5040-09537-00     cap 100M 100V +/-20 radial                        1
1793    ..3      5100-09690-00     brdg 35a rect 200v                                1
1794    ..3      5162-12635-00     trans tip 102                                     8
1795    ..3      5190-09016-00     trans 2N4403 pnp                                  8
1796    ..3      5191-12179-00     trans TIP36C pnp                                  4
1797    ..3      5315-12009-00     ic 74hct374 8-b ltch                              1
1798    ..3      5315-12031-00     ic 74HCT244                                       1
1799    ..3      5315-12812-00     ic 74hct138 3to8 decoder                          1
1800    ..3      5315-12951-00     ic 74hct 00                                       1
1801    ..3      5370-12272-00     ic LM339 quad comp                                2
1802    ..3      5731-10356-00     fuse sb 3A 250V                                   4
1803    ..3      5733-12060-01     fuse hldr pc MT3AG                                4
1804    ..3      5791-10862-05     5h str sq pin .156                                2
1805    ..3      5791-10862-09     9h str sq pin .156                                1
1806    ..3      5791-10862-13     13h str sq pin .156                               1
1807    ..3      5791-13830-06     6h str sq pin .100 solid tab                      1
1808    ..3      5791-12516-00     34 hdr 2x17 .100                                  1
1809    .2       A-15498           spkr/display assy                                 1
1810    ..3      A-15469           speaker panel sub assy                            1
1811    ..3      H-15011           speaker panel cable                               1
1812    ...4     CW-30022-0        wire 22awg black                               62.5
1813    ...4     CW-30022-04       wire 22awg blk/yel                            64.25
1814    ...4     5791-09124-00     1P1625 03-06-2011                                 1
1815    ...4     5820-09078-00     pm1560 02-06-2101                                 1
1816    ...4     5792-10817-04     4r mt/end 22/156                                  1
1817    ...4     03-7520-2         tie wrap-nylon 3 7/8                              8
1818    ..3      B-13826-3         "ground lug assy 12"""                            1
1819    ...4     HW-30018-54       wire 18awg grn/yel                               12
1820    ...4     5822-10879-01     ring term- #8 22-18                               2
1821    ..3      01-10056          shield-dot matrix                                 1
1822    ..3      01-8535           brkt spkr latch                                   2
1823    ..3      03-8265-1         spkr panel brkt                                   1
1824    ..3      03-7655-4         "clamp cable 1/4""dia"                            3
1825    ..3      23-6534-15        "rubber protector 14"" (black)"                   2
1826    ..3      23-6534-16        "rubber protector 3 5/8"""                        2
1827    ..3      31-1420-50005     cover-scrnd spkr panel                            1
1828    ..3      5901-12784-00     dot matrix display comp                           1
1829    ..3      5555-12924-00     speaker-4 ohm tweeter 15w                         1
1830    ..3      5555-12856-00     speaker 5 1/4 4ohm 25w                            1
1831    ..3      4008-01017-10     ms 8-32X5/8 p-rh-s                                4
1832    ..3      4008-01017-06     ms 8-32X3/8 p-rh-s                                8
1833    ..3      4008-01041-06     ms 8-32X3/8 p-flh                                 4
1834    ..3      03-6047-13        spacer 5/8                                        4
1835    ..3      4406-01128-00     nut 6-32 keps                                     4
1836    ..3      4700-00005-00     fw .141X.437X.032                                 4
1837    ..3      4106-01115-06Y    sms #6x3/8 pl-hwh-yel                             2
1838    ..3      5045-12914-00     cap 10 mfd non pol 50v +-20%                      1
1839    ..3      5825-09372-00     #6 solder lug-bent                                1
1840    ..3      4506-01106-24B    sss 6-32x1 1/2                                    4
1841    ..3      RM-21-06          #18 vinyl sleeving                                1
1842    .2       B-10686-1         knocker assy                                      1
1843    ..3      A-5387            coil plunger assy                                 1
1844    ..3      AE-23-800         coil assy                                         1
1845    ...4     MW-130-23         magnet wire-130deg c sns 23ga                     0
1846    ...4     16-8943-1         coil tape-1 3/8 wide                              0
1847    ...4     A-22181           small bobbin assy                                 0
1848    ....5    03-7041-1         bobbin                                            0
1849    ....5    01-14673          terminal coil                                     0
1850    ....5    07-6688-17        rivet 5/32X1/8                                    0
1851    ..3      01-11273          brkt coil mounting                                1
1852    ..3      H-11835           knocker cable                                     1
1853    ...4     HW-30018-0        wire 18awg black                                2.5
1854    ...4     HW-30018-2        wire 18awg red                                  2.5
1855    ...4     5791-09111-00     3p1396 03-09-2032                                 1
1856    ...4     5820-09080-00     terminal-pm1190 02-09-2101                        2
1857    ..3      01-8-508-T        brkt coil retainer                                1
1858    ..3      03-7067-5         tubing-coil                                       1
1859    ..3      23-6420           grommet                                           1
1860    ..3      4008-01017-04     ms 8-32X1/4 p-rh-s                                2
1861    .2       H-15736           secondary cable                                   1
1862    ..3      HW-30018-2        wire 18awg red                                  184
1863    ..3      HW-30018-92       wire 18awg wht/red                              184
1864    ..3      HW-30018-9        wire 18awg white                                196
1865    ..3      HW-30018-8        wire 18awg gray                                  92
1866    ..3      HW-30018-04       wire 18awg blk/yel                              184
1867    ..3      HW-30018-89       wire 18awg gry/wht                               92
1868    ..3      HW-30018-95       wire 18awg wht/grn                              184
1869    ..3      HW-30018-85       wire 18awg gry/grn                               92
1870    ..3      HW-30018-69       wire 18awg blu/wht                              184
1871    ..3      HW-30018-7        wire 18awg violet                               196
1872    ..3      HW-30018-49       wire 18awg yel/wht                               79
1873    ..3      HW-30018-91       wire 18awg wht/brn                              158
1874    ..3      HW-30018-1        wire 18awg brown                                158
1875    ..3      HW-30018-93       wire 18awg wht/org                               79
1876    ..3      HW-30018-5        wire 18awg green                                 79
1877    ..3      HW-30018-94       wire 18awg wht/yel                              158
1878    ..3      HW-30018-3        wire 18awg orange                               158
1879    ..3      5791-10353-00     15P1375 03-09-2159                                1
1880    ..3      5820-09080-00     terminal-pm1190 02-09-2101                       24
1881    ..3      5791-12691-00     9p1292 03-09-2092                                 1
1882    ..3      5791-12570-00     1545-Z 03-09-2022                                 1
1883    ..3      5792-10848-09     9r mt/thru 18/156                                 1
1884    ..3      5792-10848-07     7r mt/thru 18/156                                 2
1885    ..3      5792-10848-05     5r mt/thru 18/156                                 1
1886    ..3      5792-10818-05     5R mt/end 18/156                                  1
1887    ..3      5823-10820-00     "plz key mt .156"""                               6
1888    ..3      03-7520-2         tie wrap-nylon 3 7/8                             22
1889    ..3      16-9086           label-cable id                                    1
1890    ..3      5792-13384-12     12r mt/end 18/156 hi-power                        1
1891    ..3      RM-32-01          "label-white 3 1/2""x1"""                         1
1892    .2       H-15476           logic power cable                                 1
1893    ..3      HW-30018-0        wire 18awg black                                116
1894    ..3      HW-30018-85       wire 18awg gry/grn                               48
1895    ..3      HW-30018-96       wire 18awg wht/blu                               80
1896    ..3      HW-30018-8        wire 18awg gray                                 102
1897    ..3      5792-10818-07     7R mt/end 18/156                                  2
1898    ..3      5792-10848-05     5r mt/thru 18/156                                 3
1899    ..3      5792-10818-05     5R mt/end 18/156                                  1
1900    ..3      5823-10820-00     "plz key mt .156"""                               6
1901    ..3      03-7520-2         tie wrap-nylon 3 7/8                             11
1902    ..3      16-9086           label-cable id                                    1
1903    ..3      RM-32-01          "label-white 3 1/2""x1"""                         1
1904    .2       H-14584           dot matrix disply pwr cable                       1
1905    ..3      HW-30018-84       wire 18awg gry/yel                               80
1906    ..3      HW-30018-8        wire 18awg gray                                  80
1907    ..3      HW-30018-0        wire 18awg black                                123
1908    ..3      HW-30018-1        wire 18awg brown                                 44
1909    ..3      HW-30018-6        wire 18awg blue                                  44
1910    ..3      HW-30018-3        wire 18awg orange                                44
1911    ..3      5792-10848-07     7r mt/thru 18/156                                 1
1912    ..3      5792-10818-04     4r mt/end 18/156                                  1
1913    ..3      5792-10818-08     8r mt/end 18/156                                  2
1914    ..3      5823-10820-00     "plz key mt .156"""                               4
1915    ..3      03-7520-2         tie wrap-nylon 3 7/8                             10
1916    ..3      RM-32-01          "label-white 3 1/2""x1"""                         1
1917    .2       01-6645           screen-vent                                       1
1918    .2       01-6652           brkt lite box insert stop                         1
1919    .2       01-7525           plate-knocker                                     1
1920    .2       01-8397           brkt trunk latch                                  1
1921    .2       01-8569           brkt lower speaker                                1
1922    .2       01-9047           brkt stop                                         2
1923    .2       03-7655-16        "clamp cable 1""dia"                              4
1924    .2       03-7655-4         "clamp cable 1/4""dia"                            1
1925    .2       03-7655-8         "clamp cable 1/2""dia"                            5
1926    .2       03-7655-12        "clamp cable 3/4""dia"                            2
1927    .2       03-8704           cable tie-mount                                   2
1928    .2       16-8587-583       label-grd strp wng                                1
1929    .2       16-8587-825       label-fbi warning                                 1
1930    .2       16-9182-8         label-wpc dot matrix/fuse list                    1
1931    .2       20-9223           "1/4"" ground braid"                             90
1932    .2       4008-01017-08     ms 8-32X1/2 p-rh-s                               30
1933    .2       4008-01093-12B    tr 8-32X3/4 ph                                    2
1934    .2       4106-01042-08     sms #6X1/2 p-flh-a                                4
1935    .2       4106-01114-08     tcs #6X1/2 pl-hwh t-17                           42
1936    .2       4108-01019-10     sms #8X5/8 p-rh-a                                 2
1937    .2       4310-01123-20     blt 10-24X1 1/4 cb                                4
1938    .2       4406-01128-00     nut 6-32 keps                                     1
1939    .2       4410-01117-00     nut 10-24 hex                                     4
1940    .2       4506-01103-24     sss 6-32X1 1/2                                    1
1941    .2       4108-01219-11     sms #8 x 11/16 pin-hd-ab spcl                     2
1942    .2       4700-00011-00     fw .172X.437X.059                                 1
1943    .2       4700-00023-00     fw .203X.625X.059                                 4
1944    .2       4700-00104-00     fw .361X.500X.059                                 4
1945    .2       5795-10938-14     "ribbon cable-26 pin 14"""                        1
1946    .2       5795-12653-03     "ribbon cable-34 pin  3"""                        1
1947    .2       5795-13018-00     ribbon cable-34 pin                               1
1948    .2       5795-12838-30     ribbon cable-14 pin                               1
1949    .2       50005-IN          fishtales-insert panel                            1
1950    ..3      H-15495           insert cable-50005                                1
1951    ...4     CW-30022-67       wire 22awg blu/vio                               57
1952    ...4     CW-30022-60       wire 22awg blu/blk                               78
1953    ...4     CW-30022-65       wire 22awg blu/grn                               96
1954    ...4     CW-30022-04       wire 22awg blk/yel                               92
1955    ...4     CW-30022-03       wire 22awg blk/org                               80
1956    ...4     CW-30022-95       wire 22awg wht/grn                              104
1957    ...4     CW-30022-93       wire 22awg wht/org                              104
1958    ...4     CW-30022-91       wire 22awg wht/brn                              116
1959    ...4     CW-30022-5        wire 22awg green                                104
1960    ...4     CW-30022-3        wire 22awg orange                               104
1961    ...4     CW-30022-1        wire 22awg brown                                116
1962    ...4     CW-30022-29       wire 22awg red/wht                              136
1963    ...4     CW-30022-61       wire 22awg blu/brn                               77
1964    ...4     CW-30022-63       wire 22awg blu/org                               56
1965    ...4     5792-10817-09     9r mt/end 22/156                                  1
1966    ...4     5792-10817-11     11r mt/end 22/156                                 1
1967    ...4     5792-10817-05     5r mt/end 22/156                                  2
1968    ...4     5823-10820-00     "plz key mt .156"""                               4
1969    ...4     03-7520-2         tie wrap-nylon 3 7/8                             21
1970    ..3      01-6571           brkt hinge mtg                                    2
1971    ..3      01-6655           latch-insert                                      1
1972    ..3      03-7655-8         "clamp cable 1/2""dia"                            1
1973    ..3      11-50005-IN       fishtales-insert panel                            1
1974    ..3      16-9212           label-caution hi-volt (insert)                    1
1975    ..3      23-6534-4         rubber protector 1 1/8                            1
1976    ..3      24-8768           bulb #555 6.3Volts .25Amps                       46
1977    ..3      24-8802           bulb #906 13V 0.69                               12
1978    ..3      24-8817           socket w/o diode-white                           46
1979    ..3      24-8818           socket-w/o diode black                           12
1980    ..3      4106-01115-06Y    sms #6x3/8 pl-hwh-yel                             1
1981    ..3      4308-01123-18     blt 8-32X1-1/8 cb                                 6
1982    ..3      4408-01119-00     nut 8-32 esn                                      6
1983    ..3      4700-00023-00     fw .203X.625X.059                                 6
1984    ..3      4700-00127-01     fw 0.70x1.19x0.09                                12
1985    1        50105-CAB         usa-specific cabinet assy                         1
1986    .2       A-15414           interface brd & spacer assy                       1
1987    ..3      A-14689           coin door interface pcb assy                      1
1988    ...4     A-14689-AI        wpc c/door interface-auto inst                    1
1989    ....5    5768-12855-01     pcb-c/dr interface                                1
1990    ....5    5070-09054-00     diode-1N4004 1.0a                                 7
1991    ...4     5791-10862-18     18h str sq pin.156                                1
1992    ...4     5791-10862-08     8h str sq pin .156                                2
1993    ...4     5791-10862-13     13h str sq pin .156                               1
1994    ...4     16-8850-355       label-pcb assy id A-14689                         1
1995    ...4     5791-10862-15     15h str sq pin.156                                1
1996    ..3      03-8022-5         "spacer .343 L"""                                 4
1997    ..3      4106-01115-16     sms #6X1 pl-hwh-a                                 4
1998    .2       A-12359-3         side molding assy-stainless st                    2
1999    ..3      RM-22-08          double sided tape .032X7/8                       78
2000    ..3      01-8993-2         molding-side                                      2
2001    .2       A-15878           double opto assy                                  2
2002    ..3      A-20209           flipper opto sw assy (metal)                      2
2003    ...4     A-20209-AI        flipper opto sw assy (metal)                      2
2004    ....5    5768-14578-00     pcb-flipper opto sw (metal)                       2
2005    ....5    5010-09061-00     res 680 1/2W 5%                                   4
2006    ...4     5791-13830-07     7h str sq pin .100 solid tab                      2
2007    ...4     5490-14575-00     ic opto inter w/schmt 10ma                        4
2008    ..3      01-11250          interrupter-opto                                  2
2009    ..3      06-86             blade-back up                                     4
2010    ..3      A-15893           opto mtg brkt                                     2
2011    ..3      4006-01003-04     ms 6-32X1/4 p-ph-s                                4
2012    ..3      4406-01119-00     nut 6-32 esn                                      4
2013    .2       A-15487           tilt switch assy-w/cable                          1
2014    ..3      01-1168           brkt bumper switch mounting                       1
2015    ..3      SW-1A-117         switch-tilt                                       1
2016    ...4     A-5818            tilt wgt/blde assy                                1
2017    ....5    A-8391            blade & contact assy                              1
2018    .....6   06-8A-12          blade-contact                                     1
2019    .....6   5860-09374-00     cp prec met 7309fs                                1
2020    ....5    02-2042           weight-tilt                                       1
2021    ...4     A-8390            blade & contact assy                              1
2022    ....5    06-7B-20          blade-contact                                     1
2023    ....5    5860-09374-00     cp prec met 7309fs                                1
2024    ...4     01-916-H          "spacer- 3/32"""                                  1
2025    ...4     01-916-L          "spacer-loose 1/16"""                             1
2026    ...4     01-916-Q          "spacer- 1/64"""                                  1
2027    ...4     01-916-S          "spacer-tight 1/16"""                             2
2028    ...4     03-7007-5A        "tubing-11/32"""                                  2
2029    ...4     06-17             blade-side lug                                    1
2030    ..3      01-96             brkt switch limit                                 1
2031    ..3      01-3670-1         plate-switch flat                                 1
2032    ..3      4005-01003-12     ms 5-40x3/4 p-phs                                 2
2033    ..3      4405-01117-00     nut 5-40 hex                                      2
2034    ..3      H-15478           tilt switch cable                                 1
2035    ...4     5791-10772-00     2P11625 03-06-2023                                1
2036    ...4     5820-09078-00     pm1560 02-06-2101                                 2
2037    ...4     CW-30022-5        wire 22awg green                                  4
2038    ...4     CW-30022-9        wire 22awg white                                  4
2039    ..3      5070-09054-00     diode-1N4004 1.0a                                 1
2040    .2       A-15130-1         fish/reel handle assy                             1
2041    ..3      21-6689-3         handle-fishing reel                               1
2042    ..3      21-6689-4         handle-fishing reel                               1
2043    ..3      4010-01097-06B    ms 10-32x 3/8 t-r bttn head                       3
2044    ..3      02-4547           "fastner-button head 1/2"""                       3
2045    ..3      03-8829           plate-spacer                                      1
2046    ..3      01-11126          plate-switch                                      1
2047    ..3      20-9804           switch button-thumb white                         1
2048    ..3      H-15528           caster cable                                      1
2049    ...4     H-15528-C         caster cable-cut wire                             1
2050    ....5    CW-30022-53       wire 22awg grn/org                                7
2051    ....5    CW-30022-91       wire 22awg wht/brn                                7
2052    ...4     03-7520-2         tie wrap-nylon 3 7/8                              1
2053    ...4     5791-10774-00     4P2004 03 06-2044                                 1
2054    ...4     5820-09078-00     pm1560 02-06-2101                                 2
2055    ...4     RM-23-03          heat shrink tubing 3/16 dia                     5.5
2056    ..3      5070-09054-00     diode-1N4004 1.0a                                 2
2057    ..3      4702-00014-00B    lw 1/4-20internal tooth-black                     3
2058    ..3      4700-00129-00B    fw .203x.468x.030 black                           3
2059    ..3      4702-00013-00B    lw #10 internal tooth-black                       3
2060    .2       B-12273-4         button no spring assy-red                         2
2061    .2       A-15707-120V      line filter assy 120  dom                         1
2062    ..3      A-14810-1         chassis assy                                      1
2063    ..3      H-13870           black jumper cable                                2
2064    ...4     5821-09081-00     pf1189 02-09-1101                                 4
2065    ...4     HW-60018-0        wire 18awg black                                  8
2066    ..3      H-14790           a.c. cable                                        1
2067    ...4     5792-10917-00     9R1991 19-09-1092                                 1
2068    ...4     5821-09081-00     pf1189 02-09-1101                                 2
2069    ...4     5822-14713-02     term-quik con 22-18 tab .250                      2
2070    ...4     03-7520-2         tie wrap-nylon 3 7/8                              3
2071    ...4     HW-60018-0        wire 18awg black                                 20
2072    ...4     HW-60018-9        wire 18awg white                                 20
2073    ..3      H-14792-1         a.c. jumper cable                                 1
2074    ...4     5822-10872-02     term 22-18 tab.250                                2
2075    ...4     HW-60018-0        wire 18awg black                                  5
2076    ..3      H-14792-2         a.c. jumper cable                                 1
2077    ...4     5822-10872-02     term 22-18 tab.250                                2
2078    ...4     HW-60018-9        wire 18awg white                                  5
2079    ..3      RM-21-06          #18 vinyl sleeving                                3
2080    ..3      01-10623          insulator-thermistor                              1
2081    ..3      03-8591           bushing-strain relief                             1
2082    ..3      16-8587-926       label-8 amp fuse                                  1
2083    ..3      16-9244           label-conv receptacle rating                      1
2084    ..3      4008-01017-08     ms 8-32X1/2 p-rh-s                                2
2085    ..3      5017-09044-00     varistor metox 10a                                1
2086    ..3      5016-12978-00     thermistor-8a 2.5R25                              1
2087    ..3      5102-10310-00     line filter 5VK1                                  1
2088    ..3      5730-09252-00     fuse 8A 250V                                      1
2089    ..3      5733-12869-00     fuse holder panel                                 1
2090    ..3      5851-09184-00     ser outlet snap-in                                1
2091    ..3      A-15473           iec power input box assy                          1
2092    ...4     01-10715          box-IEC 300 power inlet                           1
2093    ...4     5852-13249-00     inlet-power                                       1
2094    ...4     4004-01041-06     ms 4-40X3/8 p-flh                                 2
2095    ...4     20-9682-1         protective cap                                    1
2096    ...4     03-7520-2         tie wrap-nylon 3 7/8                              1
2097    ...4     5797-13850-00     power interface cable                             1
2098    ..3      03-8712           bushing-strain relf-heyco 1161                    1
2099    ..3      5640-13250-00     switch-toggle dpst                                1
2100    .2       D-9174-3          lever guide assy                                  1
2101    ..3      D-9163-3          latch guide assy                                  1
2102    ...4     01-8406-2         brkt latch guide                                  1
2103    ..3      A-16163           lever slide assy                                  1
2104    ...4     01-11134          slide-latch                                       1
2105    ..3      01-7431           latch support                                     1
2106    ..3      4006-01017-04     ms 6-32X1/4 p-rh-s                                2
2107    ..3      4010-01062-10     ms 10-32X5/8 sl-bndr-hd brass                     2
2108    .2       H-15496           50005-cabinet cable                               1
2109    ..3      H-15496-C         cabinet cable-cut wire                            1
2110    ...4     CW-30022-7        wire 22awg violet                               111
2111    ...4     CW-30022-97       wire 22awg wht/vio                              111
2112    ...4     CW-30022-04       wire 22awg blk/yel                              231
2113    ...4     CW-30022-0        wire 22awg black                                237
2114    ...4     CW-30022-51       wire 22awg grn/brn                            230.5
2115    ...4     CW-30022-52       wire 22awg grn/red                              141
2116    ...4     CW-30022-91       wire 22awg wht/brn                            192.5
2117    ...4     CW-30022-92       wire 22awg wht/red                              129
2118    ...4     CW-30022-93       wire 22awg wht/org                              136
2119    ...4     CW-30022-94       wire 22awg wht/yel                            127.5
2120    ...4     CW-30022-31       wire 22awg org/brn                              113
2121    ...4     CW-30022-32       wire 22awg org/red                              132
2122    ...4     CW-30022-30       wire 22awg org/blk                              113
2123    ...4     CW-30022-39       wire 22awg org/wht                              113
2124    ...4     CW-30022-34       wire 22awg org/yel                              113
2125    ...4     CW-30022-35       wire 22awg org/grn                              113
2126    ...4     CW-30022-36       wire 22awg org/blu                              113
2127    ...4     CW-30022-37       wire 22awg org/vio                              113
2128    ...4     CW-30022-38       wire 22awg org/gry                              113
2129    ...4     CW-30022-84       wire 22awg gry/yel                              109
2130    ...4     CW-30022-48       wire 22awg yel/gry                            192.5
2131    ...4     CW-30022-28       wire 22awg red/gry                              135
2132    ...4     CW-30022-68       wire 22awg blu/gry                              122
2133    ...4     CW-30022-67       wire 22awg blu/vio                              134
2134    ...4     CW-30022-06       wire 22awg blk/blu                              122
2135    ...4     CW-30022-3        wire 22awg orange                               231
2136    ...4     CW-30022-27       wire 22awg red/vio                              134
2137    ...4     CW-30022-53       wire 22awg grn/org                              123
2138    ..3      5792-10817-03     3r mt end 22/156                                  2
2139    ..3      5792-10817-04     4r mt/end 22/156                                  2
2140    ..3      5792-12116-08     8r mt/end 22/.100                                 1
2141    ..3      5792-12116-12     12r mt/end 22/.100                                1
2142    ..3      5792-12116-09     9r mt/end 22/.100                                 1
2143    ..3      5792-10817-18     18r mt/end 22/156                                 1
2144    ..3      5792-10817-08     8r mt/end 22/156                                  1
2145    ..3      5822-10872-01     term 22-18 tab.187                                4
2146    ..3      5822-10879-01     ring term- #8 22-18                               2
2147    ..3      5823-10820-00     "plz key mt .156"""                               6
2148    ..3      5823-12119-00     plz key-mt .100                                   3
2149    ..3      03-7520-2         tie wrap-nylon 3 7/8                             37
2150    ..3      5792-09125-00     1R1625 03-06-1011                                 1
2151    ..3      5821-09079-00     pf1561 02-06-1101                                13
2152    ..3      20-9223           "1/4"" ground braid"                             72
2153    ..3      5825-06523-00     solder lug #8 flat                                1
2154    ..3      RM-21-09          "3/8""id pvc tubing"                          13.75
2155    ..3      5792-10771-00     3R11625 03-06-1032                                3
2156    ..3      5792-10775-00     4R2004 03-06-1044                                 1
2157    ..3      5792-10773-00     2R11625 03-06-1023                                1
2158    ..3      5792-12116-07     7r mt/end 22/.100                                 2
2159    ..3      5792-10847-08     8r mt/thru 22/156                                 1
2160    ..3      5792-12116-06     6r mt/end 22/.100                                 1
2161    .2       01-3444           brkt tilt  upper                                  1
2162    .2       01-3445           brkt tilt lower                                   1
2163    .2       01-10030          brkt cashbox lock                                 1
2164    .2       01-9011-L         brkt b/box mtg                                    1
2165    .2       01-9011-R         brkt b/box mtg                                    1
2166    .2       01-6389-1         brkt nest                                         1
2167    .2       03-8603-1         screen-vent speaker                               1
2168    .2       03-8603-2         screen-vent 2-1/2 square                          2
2169    .2       01-8169           screen-vent hole                                  1
